y,Count,Color,January,February,March,April,May,June,July,August,September,October,November,December,Total
P.E.,540,All Black,21,62,2,24,,3,,,,,,,235
,,Black,33,3,,26,42,,,25,1,55,,,126
,,Blue,23,2,,24,,,,,28,,,,281
,,White,157,424,40,209,314,,,,65,,36,,"2,598.00"
Slip on Girls,578,Black,709,346,406,305,202,355,738,327,163,256,131,215,"5,038.00"
,,Blue,2531,5674,3078,3268,2509,1369,2457,3780,3388,2240,1531,669,"32,474.00"
,,White,2564,1421,1850,1443,2605,1516,1747,3050,1008,2236,1438,1702,"22,580.00"
Casual,655,Black,873,367,313,491,435,562,505,708,650,814,318,823,"6,859.00"
,,Brown,365,150,97,136,77,199,195,140,296,266,66,507,"2,494.00"
,,N. Blue,211,153,129,85,66,200,201,61,308,104,113,150,"1,781.00"
Slip on Boys,709,Black,253,187,319,196,615,337,227,109,506,358,285,74,"3,466.00"
,,Blue,1249,1926,1386,2683,782,550,1546,2150,2132,1248,501,677,"16,830.00"
,,White,1260,688,1228,928,905,866,827,1283,397,863,300,736,"10,281.00"
TOTAL,,,"10,249","11,403","8,848","9,818","8,644","6,064","8,992","11,685","9,433","8,894","5,431","5,582","105,043"
